symbol,Implied APR,Latest Funding Rate,Previous Funding Rate,3 Day Cum Funding APR,7 Day Cum Funding APR,30 Day Cum Funding APR,Target_Allocation%,UTC Timestamp
XRPUSD_PERP,11.05,10.8,10.8,10.65,10.74,13.86,40.0,2024-06-19 18:07:06
ETHUSD_PERP,11.04,10.8,10.8,10.73,10.77,13.49,35.0,2024-06-19 18:07:06
RUNEUSD_PERP,10.98,10.8,10.8,10.56,10.67,13.61,25.0,2024-06-19 18:07:06
GMTUSD_PERP,10.98,10.8,10.8,10.8,10.8,12.57,0.0,2024-06-19 18:07:06
EOSUSD_PERP,10.95,10.8,10.8,10.8,10.8,12.35,0.0,2024-06-19 18:07:06
AAVEUSD_PERP,10.92,10.8,10.8,10.8,10.8,12.03,0,2024-06-19 18:07:06
THETAUSD_PERP,10.91,10.8,10.8,10.8,10.8,11.9,0,2024-06-19 18:07:06
UNIUSD_PERP,10.9,10.8,10.8,10.8,10.8,11.76,0,2024-06-19 18:07:06
MANAUSD_PERP,10.84,10.8,10.8,10.8,10.8,11.16,0,2024-06-19 18:07:06
OPUSD_PERP,10.82,10.8,10.8,9.29,10.15,16.88,0,2024-06-19 18:07:06
LTCUSD_PERP,10.68,10.8,10.8,9.65,10.31,14.05,0,2024-06-19 18:07:06
EGLDUSD_PERP,10.66,10.8,10.8,9.8,10.37,13.21,0,2024-06-19 18:07:06
LINKUSD_PERP,10.63,10.8,10.8,9.66,10.31,13.55,0,2024-06-19 18:07:06
ALGOUSD_PERP,10.51,10.8,10.8,9.91,10.42,11.33,0,2024-06-19 18:07:06
FTMUSD_PERP,10.49,10.8,10.8,8.82,9.95,15.32,0,2024-06-19 18:07:06
AVAXUSD_PERP,10.47,10.8,10.8,9.44,10.22,12.73,0,2024-06-19 18:07:06
DOTUSD_PERP,10.37,10.8,10.8,9.48,10.23,11.59,0,2024-06-19 18:07:06
SOLUSD_PERP,10.27,10.8,10.8,8.7,9.73,13.87,0,2024-06-19 18:07:06
MATICUSD_PERP,10.21,10.8,10.8,8.39,9.77,14.17,0,2024-06-19 18:07:06
APTUSD_PERP,10.18,10.8,10.8,9.17,10.1,10.87,0,2024-06-19 18:07:06
SANDUSD_PERP,10.07,10.8,10.8,8.89,9.98,10.87,0,2024-06-19 18:07:06
XLMUSD_PERP,10.07,10.8,10.8,8.76,9.92,11.35,0,2024-06-19 18:07:06
ADAUSD_PERP,9.75,10.8,10.8,7.28,9.29,13.89,0,2024-06-19 18:07:06
FILUSD_PERP,8.5,10.8,10.8,3.79,7.8,14.79,0,2024-06-19 18:07:06
NEARUSD_PERP,8.04,10.8,10.8,2.65,6.23,16.77,0,2024-06-19 18:07:06
ETCUSD_PERP,7.64,10.8,10.8,1.83,6.96,13.8,0,2024-06-19 18:07:06
CHZUSD_PERP,6.5,10.8,10.8,-0.78,5.84,12.46,0,2024-06-19 18:07:06
BTCUSD_PERP,6.37,6.01,5.08,4.45,8.08,11.59,0,2024-06-19 18:07:06
DOGEUSD_PERP,5.63,4.73,7.87,1.87,6.14,14.78,0,2024-06-19 18:07:06
ATOMUSD_PERP,5.08,1.04,9.81,2.7,7.33,10.66,0,2024-06-19 18:07:06
BCHUSD_PERP,3.14,3.49,7.67,-0.99,4.01,6.09,0,2024-06-19 18:07:06
BNBUSD_PERP,2.25,0.0,0.0,2.55,1.09,12.7,0,2024-06-19 18:07:06
ENSUSD_PERP,1.99,-17.66,1.71,9.79,10.37,11.35,0,2024-06-19 18:07:06
TRXUSD_PERP,-5.47,-8.02,-19.33,-5.53,2.37,6.17,0,2024-06-19 18:07:06
AXSUSD_PERP,-42.72,-83.89,-66.68,-30.91,-12.52,0.35,0,2024-06-19 18:07:06
